deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.483,0.002,0.999,0.028,0.013,1
0.496,0.002,0.998,0.028,0.013,1
0.504,0.001,0.998,0.027,0.013,1
0.5,0.001,0.998,0.028,0.013,1
0.485,0.001,0.998,0.029,0.013,1
0.461,0.002,0.997,0.03,0.013,1
0.365,0.001,0.989,0.038,0.014,1
0.231,0,0.942,0.06,0.014,1
0.141,0,0.813,0.098,0.017,1
0.096,0,0.649,0.144,0.021,1
0.064,0,0.515,0.215,0.026,1
0.05,0,0.432,0.276,0.032,1
0.039,0,0.357,0.35,0.038,1
0.032,0,0.31,0.422,0.045,1
0.029,0,0.279,0.478,0.049,1
0.027,0,0.265,0.505,0.052,1
0.027,0,0.267,0.504,0.051,1
0.028,0,0.267,0.485,0.051,1
0.03,0,0.284,0.456,0.048,1
0.034,0,0.314,0.407,0.043,1
0.038,0,0.335,0.367,0.04,1
0.042,0,0.386,0.327,0.035,1
0.048,0,0.417,0.287,0.033,1
0.054,0,0.452,0.257,0.03,1
0.057,0,0.474,0.242,0.029,1
0.065,0,0.513,0.211,0.027,1
0.071,0,0.563,0.194,0.024,1
0.081,0,0.603,0.17,0.023,1
0.092,0,0.658,0.151,0.021,1
0.11,0,0.717,0.125,0.019,1
0.143,0,0.808,0.096,0.017,1
0.19,0.001,0.906,0.073,0.015,1
0.26,0.001,0.957,0.053,0.014,1
0.353,0.001,0.985,0.039,0.014,1
0.361,0.001,0.988,0.038,0.014,1
0.257,0.001,0.961,0.053,0.014,1
0.113,0,0.738,0.122,0.018,1
0.043,0,0.399,0.318,0.034,1
0.018,0,0.183,0.747,0.075,1
0.009,0,0.1,1,0.137,1
0.006,0,0.062,1,0.224,1
0.034,0.007,0.098,0.402,0.14,1
0.024,0.005,0.068,0.573,0.201,1
0.026,0.007,0.062,0.538,0.218,1
0.03,0.011,0.063,0.453,0.214,1
0.022,0.008,0.046,0.63,0.3,1
0.025,0.012,0.045,0.557,0.302,1
0.027,0.015,0.045,0.503,0.3,0.929
0.02,0.01,0.033,0.703,0.413,1
0.016,0.008,0.027,0.868,0.509,1
0.012,0.006,0.021,1,0.658,1
0.037,0.026,0.049,0.376,0.275,0.534
0.031,0.022,0.041,0.445,0.326,0.629
0.036,0.028,0.046,0.38,0.293,0.503
0.039,0.032,0.048,0.348,0.277,0.442
0.043,0.036,0.051,0.322,0.261,0.397
0.041,0.034,0.048,0.336,0.277,0.411
0.044,0.038,0.051,0.312,0.262,0.374
0.039,0.034,0.044,0.354,0.298,0.422
0.04,0.035,0.044,0.347,0.297,0.408
0.035,0.031,0.039,0.396,0.339,0.462
0.03,0.027,0.034,0.45,0.388,0.523
0.031,0.029,0.034,0.438,0.38,0.503
0.034,0.031,0.037,0.408,0.354,0.466
0.034,0.031,0.036,0.407,0.356,0.464
0.034,0.032,0.037,0.402,0.353,0.459
0.034,0.032,0.036,0.406,0.357,0.461
0.036,0.034,0.038,0.383,0.337,0.434
0.035,0.033,0.037,0.396,0.349,0.448
0.034,0.032,0.037,0.399,0.353,0.451
0.036,0.034,0.038,0.378,0.335,0.428
0.038,0.036,0.04,0.36,0.319,0.407
0.04,0.038,0.042,0.342,0.303,0.386
0.04,0.038,0.042,0.347,0.306,0.391
0.037,0.035,0.039,0.372,0.329,0.42
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.5,0.002,0.998,0.028,0.013,1
0.514,0.001,0.998,0.027,0.013,1
0.5,0.002,0.999,0.028,0.013,1
0.501,0.002,0.999,0.028,0.013,1
0.483,0.001,0.998,0.028,0.013,1
0.472,0.001,0.998,0.029,0.013,1
0.419,0.002,0.995,0.033,0.013,1
0.345,0.001,0.987,0.04,0.014,1
0.262,0.001,0.956,0.053,0.014,1
0.2,0,0.911,0.069,0.015,1
0.163,0,0.851,0.085,0.016,1
0.128,0,0.769,0.107,0.018,1
0.102,0,0.698,0.134,0.02,1
0.092,0,0.638,0.15,0.022,1
0.087,0,0.636,0.158,0.021,1
0.089,0,0.626,0.153,0.022,1
0.092,0,0.658,0.15,0.021,1
0.098,0,0.696,0.14,0.02,1
0.12,0,0.742,0.116,0.019,1
0.142,0,0.817,0.097,0.017,1
0.192,0.001,0.891,0.071,0.015,1
0.246,0.001,0.951,0.056,0.014,1
0.33,0.001,0.984,0.042,0.014,1
0.39,0.001,0.993,0.035,0.013,1
0.448,0.001,0.997,0.031,0.013,1
0.474,0.001,0.998,0.029,0.013,1
0.495,0.001,0.998,0.028,0.013,1
0.492,0.001,0.998,0.028,0.013,1
0.497,0.002,0.999,0.028,0.013,1
0.493,0.002,0.999,0.028,0.013,1
0.508,0.002,0.999,0.027,0.013,1
0.502,0.002,0.999,0.027,0.013,1
0.502,0.002,0.999,0.027,0.013,1
0.506,0.002,0.999,0.027,0.013,1
0.502,0.002,0.999,0.027,0.013,1
0.491,0.001,0.999,0.028,0.013,1
0.516,0.002,0.999,0.027,0.013,1
0.495,0.002,0.998,0.028,0.013,1
0.444,0.001,0.997,0.031,0.013,1
0.303,0.001,0.981,0.045,0.014,1
0.148,0,0.816,0.093,0.017,1
0.063,0,0.508,0.218,0.027,1
0.159,0.017,0.49,0.086,0.028,0.813
0.176,0.035,0.428,0.078,0.032,0.389
0.123,0.026,0.318,0.112,0.042,0.523
0.095,0.019,0.255,0.145,0.053,0.718
0.118,0.033,0.269,0.117,0.051,0.42
0.103,0.029,0.241,0.134,0.057,0.466
0.092,0.026,0.218,0.15,0.063,0.543
0.083,0.022,0.193,0.166,0.071,0.618
0.052,0.01,0.148,0.265,0.092,1
0.048,0.01,0.137,0.286,0.1,1
0.105,0.04,0.208,0.131,0.066,0.338
0.114,0.048,0.217,0.121,0.063,0.286
0.101,0.043,0.196,0.136,0.07,0.324
0.148,0.077,0.245,0.093,0.055,0.179
0.166,0.096,0.259,0.083,0.052,0.144
0.163,0.098,0.246,0.084,0.055,0.142
0.184,0.121,0.261,0.075,0.052,0.115
0.149,0.097,0.212,0.093,0.064,0.144
0.118,0.079,0.169,0.116,0.08,0.176
0.105,0.07,0.146,0.132,0.093,0.198
0.12,0.087,0.159,0.115,0.084,0.16
0.106,0.078,0.14,0.13,0.096,0.179
0.115,0.087,0.147,0.12,0.091,0.162
0.107,0.082,0.136,0.129,0.098,0.17
0.148,0.12,0.179,0.093,0.075,0.118
0.138,0.112,0.167,0.1,0.08,0.125
0.173,0.145,0.203,0.079,0.065,0.097
0.155,0.13,0.182,0.089,0.073,0.109
0.16,0.137,0.186,0.086,0.071,0.104
0.155,0.135,0.177,0.089,0.075,0.106
0.143,0.124,0.162,0.097,0.082,0.115
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.49,0.001,0.999,0.028,0.013,1
0.499,0.002,0.998,0.028,0.013,1
0.494,0.002,0.999,0.028,0.013,1
0.485,0.002,0.998,0.028,0.013,1
0.485,0.001,0.998,0.028,0.013,1
0.455,0.002,0.997,0.03,0.013,1
0.369,0.001,0.989,0.037,0.014,1
0.264,0.001,0.952,0.052,0.014,1
0.181,0,0.885,0.076,0.015,1
0.723,0.11,0.996,0.019,0.013,0.124
0.593,0.079,0.97,0.023,0.014,0.176
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.921,0.555,0.999,0.015,0.013,0.025
0.474,0.186,0.775,0.029,0.018,0.075
1,1,1,0.014,0.012,0.015
0.926,0.773,0.989,0.015,0.013,0.018
0.979,0.899,0.999,0.014,0.013,0.016
0.854,0.74,0.932,0.016,0.014,0.019
0.641,0.523,0.75,0.022,0.018,0.027
0.567,0.463,0.667,0.024,0.02,0.03
0.494,0.399,0.589,0.028,0.023,0.035
0.465,0.38,0.552,0.03,0.024,0.037
0.413,0.334,0.493,0.033,0.027,0.042
0.353,0.286,0.422,0.039,0.032,0.049
0.295,0.239,0.356,0.047,0.038,0.059
0.265,0.215,0.319,0.052,0.042,0.066
0.243,0.199,0.29,0.057,0.046,0.071
0.25,0.209,0.295,0.055,0.045,0.068
0.2,0.165,0.238,0.069,0.056,0.086
0.179,0.148,0.213,0.077,0.062,0.095
0.151,0.124,0.182,0.091,0.074,0.114
0.131,0.106,0.158,0.105,0.084,0.133
0.126,0.103,0.152,0.109,0.087,0.137
0.116,0.094,0.141,0.119,0.095,0.149
0.107,0.087,0.13,0.128,0.102,0.162
0.136,0.114,0.161,0.101,0.083,0.125
0.148,0.125,0.173,0.093,0.077,0.113
0.156,0.133,0.181,0.088,0.073,0.107
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.919,0.85,0.963,0.015,0.013,0.017
0.653,0.572,0.729,0.021,0.018,0.025
0.471,0.404,0.537,0.029,0.025,0.035
0.41,0.359,0.463,0.034,0.028,0.04
0.32,0.281,0.359,0.043,0.037,0.051
0.26,0.231,0.291,0.053,0.045,0.062
0.217,0.195,0.241,0.063,0.054,0.074
0.191,0.172,0.21,0.072,0.062,0.083
0.173,0.158,0.19,0.079,0.069,0.092
0.162,0.149,0.176,0.085,0.074,0.097
0.149,0.138,0.161,0.092,0.081,0.105
0.147,0.136,0.158,0.094,0.082,0.107
0.147,0.137,0.157,0.094,0.082,0.106
0.151,0.141,0.16,0.091,0.08,0.104
0.154,0.145,0.164,0.089,0.079,0.101
0.157,0.148,0.167,0.087,0.077,0.099
0.154,0.145,0.163,0.089,0.079,0.101
0.15,0.141,0.159,0.092,0.081,0.104
0.143,0.135,0.151,0.096,0.085,0.109
0.134,0.126,0.142,0.102,0.091,0.116
0.128,0.12,0.135,0.108,0.095,0.122
0.124,0.116,0.131,0.111,0.098,0.126
0.119,0.112,0.127,0.115,0.102,0.13
0.119,0.112,0.126,0.115,0.102,0.13
0.118,0.111,0.125,0.117,0.103,0.132
0.117,0.11,0.124,0.118,0.104,0.133
0.119,0.112,0.126,0.116,0.102,0.131
0.116,0.109,0.123,0.119,0.105,0.134
0.107,0.1,0.113,0.129,0.114,0.146
0.083,0.078,0.089,0.165,0.145,0.187
0.09,0.085,0.096,0.152,0.134,0.172
0.083,0.078,0.088,0.166,0.147,0.188
0.075,0.07,0.079,0.184,0.163,0.209
0.066,0.062,0.07,0.209,0.184,0.236
0.058,0.055,0.062,0.235,0.208,0.266
0.054,0.05,0.057,0.257,0.226,0.291
0.057,0.054,0.061,0.24,0.212,0.272
0.047,0.044,0.05,0.293,0.259,0.334
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.506,0.001,0.999,0.027,0.013,1
0.504,0.001,0.999,0.027,0.013,1
0.498,0.001,0.998,0.028,0.013,1
0.499,0.001,0.999,0.028,0.013,1
0.49,0.001,0.998,0.028,0.013,1
0.475,0.001,0.998,0.029,0.013,1
0.422,0.001,0.996,0.033,0.013,1
0.335,0.001,0.988,0.041,0.014,1
0.262,0.001,0.957,0.052,0.014,1
0.181,0,0.888,0.076,0.015,1
0.59,0.079,0.975,0.023,0.014,0.175
0.345,0.035,0.81,0.04,0.017,0.404
0.207,0.02,0.597,0.066,0.023,0.672
0.247,0.051,0.568,0.056,0.024,0.27
0.178,0.037,0.438,0.077,0.031,0.371
0.143,0.03,0.361,0.096,0.038,0.454
0.118,0.023,0.31,0.117,0.044,0.615
0.053,0.005,0.19,0.261,0.072,1
0.076,0.014,0.207,0.18,0.066,0.962
0.057,0.011,0.161,0.24,0.085,1
0.024,0.002,0.092,0.58,0.149,1
0.032,0.006,0.092,0.433,0.148,1
0.045,0.015,0.099,0.308,0.138,0.925
0.041,0.016,0.085,0.335,0.161,0.872
0.042,0.019,0.079,0.328,0.171,0.742
0.071,0.042,0.11,0.193,0.123,0.328
0.064,0.041,0.096,0.214,0.141,0.343
0.087,0.061,0.118,0.158,0.114,0.228
0.089,0.066,0.116,0.154,0.115,0.213
0.084,0.063,0.109,0.163,0.124,0.221
0.095,0.075,0.118,0.145,0.113,0.188
0.096,0.077,0.118,0.143,0.114,0.183
0.087,0.069,0.106,0.159,0.126,0.203
0.094,0.078,0.114,0.146,0.118,0.181
0.086,0.071,0.103,0.159,0.13,0.198
0.086,0.072,0.102,0.16,0.131,0.197
0.083,0.07,0.099,0.165,0.135,0.202
0.089,0.076,0.104,0.154,0.128,0.188
0.09,0.077,0.104,0.153,0.128,0.185
0.093,0.08,0.108,0.147,0.123,0.176
0.09,0.077,0.103,0.153,0.128,0.184
0.094,0.081,0.107,0.147,0.124,0.175
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.514,0.001,0.999,0.027,0.013,1
0.5,0.001,0.999,0.028,0.013,1
0.491,0.001,0.998,0.028,0.013,1
0.494,0.002,0.998,0.028,0.013,1
0.497,0.002,0.998,0.028,0.013,1
0.466,0.001,0.998,0.029,0.013,1
0.423,0.001,0.995,0.032,0.013,1
0.33,0.001,0.984,0.042,0.014,1
0.248,0.001,0.951,0.056,0.014,1
0.173,0,0.887,0.079,0.015,1
0.144,0,0.816,0.095,0.017,1
0.12,0,0.739,0.115,0.018,1
0.102,0,0.674,0.135,0.02,1
0.08,0,0.611,0.171,0.023,1
0.062,0,0.526,0.223,0.026,1
0.051,0,0.444,0.273,0.031,1
0.042,0,0.372,0.327,0.037,1
0.035,0,0.324,0.392,0.042,1
0.029,0,0.275,0.467,0.049,1
0.026,0,0.242,0.538,0.056,1
0.022,0,0.213,0.63,0.064,1
0.018,0,0.187,0.743,0.074,1
0.016,0,0.159,0.856,0.085,1
0.012,0,0.129,1,0.108,1
0.009,0,0.098,1,0.139,1
0.007,0,0.075,1,0.182,1
0.005,0,0.058,1,0.233,1
0.021,0.002,0.081,0.649,0.166,1
0.016,0.001,0.062,0.874,0.223,1
0.012,0.001,0.046,1,0.292,1
0.009,0.001,0.036,1,0.383,1
0.019,0.005,0.047,0.723,0.288,1
0.024,0.009,0.049,0.576,0.272,1
0.029,0.014,0.054,0.468,0.253,1
0.026,0.013,0.046,0.527,0.297,1
0.026,0.014,0.043,0.537,0.315,1
0.027,0.015,0.042,0.519,0.322,0.92
0.025,0.015,0.038,0.551,0.356,0.954
0.021,0.013,0.033,0.647,0.419,1
0.016,0.009,0.025,0.859,0.545,1
0.021,0.014,0.03,0.661,0.455,1
0.019,0.013,0.027,0.72,0.505,1
0.019,0.013,0.026,0.727,0.523,1
0.016,0.011,0.022,0.841,0.602,1
0.017,0.012,0.023,0.815,0.594,1
0.017,0.013,0.023,0.799,0.593,1
0.018,0.013,0.023,0.772,0.581,1
0.017,0.013,0.022,0.797,0.6,1
0.017,0.013,0.022,0.787,0.602,1
0.016,0.012,0.02,0.864,0.657,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.496,0.002,0.998,0.028,0.013,1
0.503,0.002,0.999,0.028,0.013,1
0.493,0.002,0.999,0.028,0.013,1
0.512,0.001,0.999,0.027,0.013,1
0.473,0.001,0.998,0.029,0.013,1
0.431,0.001,0.996,0.032,0.013,1
0.331,0.001,0.98,0.042,0.014,1
0.199,0.001,0.911,0.069,0.015,1
0.135,0,0.793,0.103,0.017,1
0.098,0,0.693,0.14,0.02,1
0.084,0,0.613,0.164,0.022,1
0.076,0,0.574,0.181,0.024,1
0.073,0,0.571,0.189,0.024,1
0.075,0,0.569,0.183,0.024,1
0.088,0,0.627,0.156,0.022,1
0.111,0,0.728,0.124,0.019,1
0.152,0,0.827,0.091,0.016,1
0.217,0.001,0.921,0.063,0.015,1
0.294,0.001,0.973,0.047,0.014,1
0.369,0.001,0.991,0.037,0.014,1
0.449,0.001,0.997,0.031,0.013,1
0.49,0.002,0.998,0.028,0.013,1
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.763,0.646,0.859,0.018,0.015,0.022
0.641,0.548,0.729,0.021,0.018,0.026
0.549,0.475,0.624,0.025,0.021,0.03
0.504,0.445,0.566,0.027,0.023,0.032
0.47,0.42,0.519,0.029,0.025,0.034
0.389,0.348,0.431,0.035,0.03,0.041
0.463,0.427,0.499,0.03,0.026,0.034
